Date,Document,Importance,Procedural/Factual Step,Legal Meaning/Summary,Meta Meaning/Summary
2019-12-17,[❌ 2019_12_17_MISSING_DEP_338-0594_FORAD_True_Copy_Rachel_Freed.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2019_12_17_MISSING_DEP_338-0594_FORAD_True_Copy_Rachel_Freed.txt),🔵 formality,Rachel Freed attests FORAD is true copy in DEP file,Administrative certification,Preparing for extension
2019-12-24,[2019_12_24 #338-0594 Extension Permit for FORAD.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2019_12_24%20%23338-0594%20Extension%20Permit%20for%20FORAD.pdf),🔵 formality,FORAD extension permit to Dec 19 2022,Extends time to develop,Buying more time
2020-03-19,[2020_03_19 Delapa NOI.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_03_19%20Delapa%20NOI.pdf),🟡 critical,Delapa files Notice of Intent,New development application,Starting formal permit process
2020-04-03,[2020_04_03 Mass Covid Extension - Chapter 53.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_03%20Mass%20Covid%20Extension%20-%20Chapter%2053.pdf),🔵 formality,COVID-19 deadline extensions,Automatic permit extensions,Pandemic provides more time
2020-04-07,[2020_04_07_Vinci_Quitclaim_Deed.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_07_Vinci_Quitclaim_Deed.pdf),🟡 critical,Property transferred to Vinci via quitclaim,New owner takes over project,Fresh face for negotiations
2020-04-13,[2020_04_13 Vinci - Board of Assessors - Notice of intent.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_13%20Vinci%20-%20Board%20of%20Assessors%20-%20Notice%20of%20intent.pdf),🔵 formality,Vinci notifies Board of Assessors,Tax assessment implications,Administrative requirements
2020-04-15,[2020_04_15 Tim McGuire Abutters List.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_15%20Tim%20McGuire%20Abutters%20List.pdf),🔵 formality,List of property abutters,Required for notifications,Procedural requirement
2020-05-01,[2020_05 WCC Filing Fee Schedule.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_05%20WCC%20Filing%20Fee%20Schedule.pdf),🔵 formality,WCC fee schedule,Cost of applications,Administrative information
2020-05-11,[2020_05_11 Delapa 335-5 NOI Checks.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_05_11%20Delapa%20335-5%20NOI%20Checks.pdf),🔵 formality,Filing fee payment checks,Paying required fees,Meeting financial obligations
2020-05-11,[2020_05_11 Delapa NOI Wetland Fee Transmittal Form.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_05_11%20Delapa%20NOI%20Wetland%20Fee%20Transmittal%20Form.pdf),🔵 formality,Fee transmittal documentation,Administrative paperwork,Procedural compliance
2020-06-18,[2020_06_18 Tim McGuire Affadavit of Service to Abutters.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_06_18%20Tim%20McGuire%20Affadavit%20of%20Service%20to%20Abutters.pdf),🔵 formality,Proof of abutter notification,Legal requirement met,Avoiding procedural challenges
2020-06-18,[2020_06_18_Goddard_NOI_Original_Vinci #338-0594.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_06_18_Goddard_NOI_Original_Vinci%20%23338-0594.pdf),🟡 critical,Goddard files NOI for Vinci property,Formal development application,Engineer representing new owner
2020-07-06,[2020_07_06 email from Kerry Snyder .pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_07_06%20email%20from%20Kerry%20Snyder%20.pdf),🟣 b/g communication,Email from Kerry Snyder,Correspondence about project,Community input
2020-07-08,[2020_07_08 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_07_08%20Minutes%20%20Conservation%20Commission.pdf),🟡 critical,WCC reviews NOI and orders peer review,Commission requires independent review,Not accepting application at face value
2020-09-09,[❌ 2020_09_09_MISSING_ConCom_Minutes_Peer_Review_Ordered.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_09_09_MISSING_ConCom_Minutes_Peer_Review_Ordered.txt),🟡 critical,WCC formally orders peer review (wrong document on town site),Independent evaluation required,Town maintaining scrutiny
2020-10-08,[2020_10_08_GEC_Donahoe_Review_Summary.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_08_GEC_Donahoe_Review_Summary.pdf),🟡 critical,GEC/Donahoe peer review summary,Professional evaluation findings,Independent review results
2020-10-13,[2020_10_13 Goddard to Catrone.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_13%20Goddard%20to%20Catrone.pdf),🟣 b/g communication,Goddard email to WCC administrator,Direct communication attempt,Working the relationships
2020-10-14,[2020_10_14 WCC Hearing Continued.txt](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_14%20WCC%20Hearing%20Continued.txt),🔵 formality,Hearing continuation notice,More time needed for review,Process extending
2020-10-27,[2020_10_27_Response_to_Peer_Review_Comments.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_27_Response_to_Peer_Review_Comments.pdf),🟡 critical,Applicant responds to peer review,Addressing technical concerns,Attempting to satisfy critics
2020-10-28,[2020_10_28 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_28%20Minutes%20%20Conservation%20Commission.pdf),🔵 formality,WCC meeting minutes,Regular proceedings,Ongoing review
2020-11-18,[2020_11_18 Nora Loughnane email to Catrone.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18%20Nora%20Loughnane%20email%20to%20Catrone.pdf),🟣 b/g communication,Public input to WCC,Community participation,Opposition organizing
2020-11-18,[2020_11_18 Plot Sale Record - Salvatore - Delapa.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18%20Plot%20Sale%20Record%20-%20Salvatore%20-%20Delapa.pdf),🟡 critical,Property sale record Salvatore to Delapa,Chain of title documentation,Establishing ownership history
2020-11-18,[2020_11_18 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18%20WCC%20Hearing%20Continued.pdf),🔵 formality,Another hearing continuation,Extended review process,Deliberate pace
2020-12-14,[2020_12_14_GEC_Donahoe_Review_Comments.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_12_14_GEC_Donahoe_Review_Comments.pdf),🟡 critical,Detailed peer review comments,Specific technical concerns,Substantive issues identified
2021-01-01,[2021 Goddard Continuation Requests.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021%20Goddard%20Continuation%20Requests.pdf),🔵 formality,Multiple continuation requests by Goddard,Applicant buying time,Strategy to wear down opposition
2021-01-04,[2021_01_04 Enviro Analysis Follow up Email from Brian Donahoe.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_01_04%20Enviro%20Analysis%20Follow%20up%20Email%20from%20Brian%20Donahoe.pdf),🟣 b/g communication,Peer reviewer follow-up,Additional technical input,Ongoing concerns
2021-01-27,[2021_01_27 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_01_27%20WCC%20Hearing%20Continued.pdf),🔵 formality,Hearing continuation,Process continues,Long review
2021-02-10,[2021_02_10 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_02_10%20WCC%20Hearing%20Continued.pdf),🔵 formality,Another continuation,Extensive review,Thorough process
2021-02-24,[2021_02_24 WCC Hearing Contnued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_02_24%20WCC%20Hearing%20Contnued.pdf),🔵 formality,Continued again,Pattern continues,Wearing process
2021-03-10,[2021_03_10 Delapa Site Plan.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_10%20Delapa%20Site%20Plan.pdf),🔵 formality,Updated site plan submitted,Revised proposal,Addressing concerns
2021-03-10,[2021_03_10 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_10%20WCC%20Hearing%20Continued.pdf),🟡 critical,WCC requires re-notification of abutters due to many continuations,Process reset due to delays,16 continuances trigger re-notice
2021-03-19,[2021_03_19 Delapa - Goddard Property owner Application Authorizatoin.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_19%20Delapa%20-%20Goddard%20Property%20owner%20Application%20Authorizatoin.pdf),🔵 formality,Authorization for Goddard to represent Delapa,Formalizing representation,Legal housekeeping
2021-03-19,[2021_03_19 Delapa Notice of Intent Form 3.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_19%20Delapa%20Notice%20of%20Intent%20Form%203.pdf),🟡 critical,NOI Form 3 submission,Updated application,Formal filing
2021-03-19,[2021_03_19 Goddard Response to GEC Review.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_19%20Goddard%20Response%20to%20GEC%20Review.pdf),🟡 critical,Response to peer review comments,Addressing technical concerns,Attempting compliance
2021-03-22,[2021_03_22_Goddard_NOI_Revised_DEP_338-0706.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_22_Goddard_NOI_Revised_DEP_338-0706.pdf),🟡 critical,Revised NOI with new DEP file #338-0706,New filing number assigned,Fresh start attempt
2021-03-24,[2021_03_24 WCC Hearing Continued - Abutters not notified.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_24%20WCC%20Hearing%20Continued%20-%20Abutters%20not%20notified.pdf),🟡 critical,Hearing continued due to notification failure,Procedural error by applicant,Another delay from mistake
2021-04-26,[2021_04_26 Catrone email to Donahoe.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_04_26%20Catrone%20email%20to%20Donahoe.pdf),🟣 b/g communication,WCC administrator to peer reviewer,Coordination on review,Behind scenes work
2021-05-01,[2021_05 AY TD emails.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05%20AY%20TD%20emails.pdf),🟣 b/g communication,Email exchanges between parties,Various communications,Multiple conversations
2021-05-05,[2021_05_05 Minutes  Conservation Commission.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_05%20Minutes%20%20Conservation%20Commission.pdf),🔵 formality,WCC meeting minutes,Regular proceedings,Ongoing review
2021-05-06,[2021_05_06 Ahearn reply to Catrone re AY.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_06%20Ahearn%20reply%20to%20Catrone%20re%20AY.pdf),🟣 b/g communication,Internal WCC communications,Staff coordination,Administrative matters
2021-05-06,[2021_05_06 AY email to Catrone.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_06%20AY%20email%20to%20Catrone.pdf),🟣 b/g communication,Email to WCC administrator,Various correspondence,Ongoing dialogue
2021-05-25,[2021_05_25 Buckley email.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_25%20Buckley%20email.pdf),🟣 b/g communication,Attorney Buckley correspondence,Legal communication,Strategic planning
2021-05-26,[2021_05_26 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_26%20WCC%20Hearing%20Continued.pdf),🔵 formality,Another hearing continuation,Process extends,More delays
2021-06-08,[2021_06_08 email from Nora Lougnane.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_06_08%20email%20from%20Nora%20Lougnane.pdf),🟣 b/g communication,Public input email,Community participation,Opposition voice
2021-06-09,[2021_06_09 Nora Loughnane email.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_06_09%20Nora%20Loughnane%20email.pdf),🟣 b/g communication,Follow-up public input,Continued opposition,Active community member
2021-06-09,[2021_06_09 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_06_09%20WCC%20Hearing%20Continued.pdf),🔵 formality,Hearing continuation,Ongoing process,Extended timeline
2021-07-03,[2021_07_03 Delapa NOI Form 3 Revision.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_07_03%20Delapa%20NOI%20Form%203%20Revision.pdf),🟡 critical,Revised NOI Form 3 with July 3 2021 date,Updated application materials,Final revision attempt
2021-07-03,[2021_07_03 Delapa Revised Site Plan.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_07_03%20Delapa%20Revised%20Site%20Plan.pdf),🔵 formality,Revised site plan dated July 3 2021,Updated design,Addressing concerns
2021-07-28,[2021_07_28 WCC Hearing Continued.pdf](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_07_28%20WCC%20Hearing%20Continued.pdf),🔵 formality,Another continuation,Process drags on,Testing patience
2021-09-08,[2021_09_08 Goddard response to GEC Review.jpg](https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_09_08%20Goddard%20response%20to%20GEC%20Review.jpg),🟡 critical,Response to peer review (image format),Technical responses,Addressing concerns
