Date,Time,Event_Description,Document_Type,Significance,Entity,Source_Document,File_Link,Display_Date,Notes,Status
2021-05-06,,Ahearn Reply to Catrone re AY,Emails,b/g communication,Ahearn/Catrone,2021_05_06 Ahearn reply to Catrone re AY.pdf,./Dated Documents/2021_05_06 Ahearn reply to Catrone re AY.pdf,May 6 2021,Email correspondence,Located
2021-05-06,,AY Email to Catrone,Emails,b/g communication,AY/Catrone,2021_05_06 AY email to Catrone.pdf,./Dated Documents/2021_05_06 AY email to Catrone.pdf,May 6 2021,Email correspondence,Located
2021-05-25,,Buckley Email,Emails,b/g communication,Buckley,2021_05_25 Buckley email.pdf,./Dated Documents/2021_05_25 Buckley email.pdf,May 25 2021,Email correspondence,Located
2021-05-26,,WCC Hearing Continued,WCC Meetings,formality,WCC,2021_05_26 WCC Hearing Continued.pdf,./Dated Documents/2021_05_26 WCC Hearing Continued.pdf,May 26 2021,Hearing continuation notice,Located
2021-06-08,,Email from Nora Loughnane,Emails,b/g communication,Nora Loughnane,2021_06_08 email from Nora Lougnane.pdf,./Dated Documents/2021_06_08 email from Nora Lougnane.pdf,June 8 2021,Email correspondence,Located
2021-06-09,,Nora Loughnane Email,Emails,b/g communication,Nora Loughnane,2021_06_09 Nora Loughnane email.pdf,./Dated Documents/2021_06_09 Nora Loughnane email.pdf,June 9 2021,Email correspondence,Located
2021-06-09,,WCC Hearing Continued,WCC Meetings,formality,WCC,2021_06_09 WCC Hearing Continued.pdf,./Dated Documents/2021_06_09 WCC Hearing Continued.pdf,June 9 2021,Hearing continuation notice,Located
2021-07-03,,Delapa NOI Form 3 Revision,NOI Applications,critical,Delapa,2021_07_03 Delapa NOI Form 3 Revision.pdf,./Dated Documents/2021_07_03 Delapa NOI Form 3 Revision.pdf,July 3 2021,Revised NOI Form 3,Located
2021-07-03,,Delapa Revised Site Plan,Site Plans,formality,Delapa,2021_07_03 Delapa Revised Site Plan.pdf,./Dated Documents/2021_07_03 Delapa Revised Site Plan.pdf,July 3 2021,Revised site plan,Located
2021-07-28,,WCC Hearing Continued,WCC Meetings,formality,WCC,2021_07_28 WCC Hearing Continued.pdf,./Dated Documents/2021_07_28 WCC Hearing Continued.pdf,July 28 2021,Hearing continuation notice,Located
2021-09-08,,Goddard Response to GEC Review,Peer Reviews,critical,Goddard,2021_09_08 Goddard response to GEC Review.jpg,./Dated Documents/2021_09_08 Goddard response to GEC Review.jpg,September 8 2021,Response to peer review (image),Located
2021-09-08,,WCC Hearing Continued,WCC Meetings,formality,WCC,2021_09_08 WCC Hearing Continued.pdf,./Dated Documents/2021_09_08 WCC Hearing Continued.pdf,September 8 2021,Hearing continuation notice,Located
2021-10-08,,Goddard Revised NOI Site Plan,Site Plans,formality,Goddard,2021_10_08 Goddard Revised NOI Site Plan.pdf,./Dated Documents/2021_10_08 Goddard Revised NOI Site Plan.pdf,October 8 2021,Revised NOI site plan,Located
2021-10-13,,Conservation Commission Minutes,WCC Meetings,formality,WCC,2021_10_13 Minutes  Conservation Commission.pdf,./Dated Documents/2021_10_13 Minutes  Conservation Commission.pdf,October 13 2021,Regular meeting minutes,Located
2021-10-18,,Delapa Withdrawal of NOI from Town Bylaws,Legal Documents,critical,Delapa,2021_10_18 Delapa Withdrawal of NOI from Town Bylaws.pdf,./Dated Documents/2021_10_18 Delapa Withdrawal of NOI from Town Bylaws.pdf,October 18 2021,NOI withdrawal from local bylaws only,Located
2021-10-27,,WCC Hearing Continued - Stephen David Recuses,WCC Meetings,critical,WCC,2021_10_27 WCC Hearing Continued - Mr Stephen David recuses himself.pdf,./Dated Documents/2021_10_27 WCC Hearing Continued - Mr Stephen David recuses himself.pdf,October 27 2021,Commissioner recusal noted,Located
2021-11-10,,Conservation Commission Minutes,WCC Meetings,formality,WCC,2021_11_10 Minutes  Conservation Commission.pdf,./Dated Documents/2021_11_10 Minutes  Conservation Commission.pdf,November 10 2021,Regular meeting minutes,Located
2021-11-17,,Order of Conditions Denial 338-0706 / 438-0706,WCC Meetings,critical,WCC,2021_11_17_Order_of_Conditions_Denial #338-0706 - #438-0706.pdf,./Dated Documents/2021_11_17_Order_of_Conditions_Denial #338-0706 - #438-0706.pdf,November 17 2021,WCC denial of NOI application,Located
2021-11-18,,WCC Denial of NOI,WCC Meetings,critical,WCC,2021_11_18 WCC Denial of NoI.pdf,./Dated Documents/2021_11_18 WCC Denial of NoI.pdf,November 18 2021,Formal denial document,Located
2021-11-30,,Goddard DEP SOC Request,DEP Correspondence,critical,Goddard,2021_11_30 Goddard DEP SOC Request.jpg,./Dated Documents/2021_11_30 Goddard DEP SOC Request.jpg,November 30 2021,Request for Superseding Order of Conditions,Located
2021-12-15,,DEP Site Inspection Notice,DEP Correspondence,critical,DEP,2021_12_15 DEP Site Inspection Notice.pdf,./Dated Documents/2021_12_15 DEP Site Inspection Notice.pdf,December 15 2021,DEP site visit notification,Located
2022-01-06,,DEP Site Visit Notes,DEP Correspondence,critical,DEP,2022_01_06_MISSING_DEP_Site_Visit_Notes.txt,./Dated Documents/2022_01_06_MISSING_DEP_Site_Visit_Notes.txt,January 6 2022,Missing DEP inspection notes,Missing
2022-01-11,,DEP Letter to Delapa,DEP Correspondence,critical,DEP,2022_01_11 DEP letter to Delapa.pdf,./Dated Documents/2022_01_11 DEP letter to Delapa.pdf,January 11 2022,DEP correspondence post-site visit,Located
2022-01-12,,Case Details Massachusetts Trial Court N3,Legal Documents,critical,Court,2022_01_12_Case Details - Massachusetts Trial Court N3.pdf,./Dated Documents/2022_01_12_Case Details - Massachusetts Trial Court N3.pdf,January 12 2022,Court case details,Located
2022-01-12,,Delapa vs WCC Docket 001,Legal Documents,critical,Court,2022_01_12_DelapavsWCC_Docket001_OCR2.pdf,./Dated Documents/2022_01_12_DelapavsWCC_Docket001_OCR2.pdf,January 12 2022,Court filing - lawsuit initiated,Located
2022-01-12,,Delapa vs WCC Docket 002,Legal Documents,critical,Court,2022_01_12_DelapavsWCC_Docket002_OCR2.pdf,./Dated Documents/2022_01_12_DelapavsWCC_Docket002_OCR2.pdf,January 12 2022,Court docket entry,Located
2022-02-07,,Legal Negotiation,Legal Documents,privileged,Attorneys,2022_02_07 Legal Negotiation.pdf,./Dated Documents/2022_02_07 Legal Negotiation.pdf,February 7 2022,Settlement negotiation document,Located
2022-02-08,,Goddard Information Request,Legal Documents,formality,Goddard,2022_02_08 Goddard Information Request.pdf,./Dated Documents/2022_02_08 Goddard Information Request.pdf,February 8 2022,Information request document,Located
2022-02-23,,DEP Cut Fill Request,DEP Correspondence,critical,DEP,2022_02_23_MISSING_DEP_Cut_Fill_Request.txt,./Dated Documents/2022_02_23_MISSING_DEP_Cut_Fill_Request.txt,February 23 2022,Missing DEP request for cut/fill data,Missing
2022-02-25,,BLSF Cut Fill Chart,Site Plans,critical,BLSF,2022_02_25_MISSING_BLSF_Cut_Fill_Chart.txt,./Dated Documents/2022_02_25_MISSING_BLSF_Cut_Fill_Chart.txt,February 25 2022,Missing cut/fill calculations,Missing
2022-03-07,,Letter from DEP to Delapa,DEP Correspondence,critical,DEP,2022_03_07 Letter from DEP to Delapa.pdf,./Dated Documents/2022_03_07 Letter from DEP to Delapa.pdf,March 7 2022,DEP determination letter,Located
