Date	Mrkrs	Document_Title	Procedural_Step	Case_Num	Environmental_Analysis	Notes	Document_URL
12/9/2015	🟢🏛️	Conservation Commission minutes	**Direct Contact with Town Counsel Granted**	338-0594	Attorney Watsky requests dealing with town attorney directly; Escalation to legal counsel	Communication shifted from public to privileged forum	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_12_09_Conservation_Commission_minutes.pdf
12/16/2015	🔍	Massdep Site Visit	**DEP Site Visit**	338-0594	MassDEP conducts site visit; State begins own review of appeal	2 additional visits dates unknown	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2015_12_16-DEP-0594-DEP_Site_Inpection_Record.pdf
1/13/2016	🟢🏛️	Conservation Commssion minutes	!**Delapa Suit Filed**!	338-0594	Attorney Watsky states suit has been filed	*"Nicole Hayes...requested the ANRAD only be heard under the Wetland Protection Act"*; *"If the Bylaw is not removed the only recourse is to file through the superior court"*	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_13%20Conservation%20Commssion%20minutes%20.pdf
1/15/2016	🟢📐	Wetland Delineation Plan		338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_15-DEP-0594-GLM_Consultants_Goddard_Wetland_Zones.png
1/20/2016	📧	Goddard SORAD Supplemental info		338-0594	Ditch between GC 53 and GC B20	New plan date of January 15, 2016	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_20-DEP-0594-Goddard_SORAD_request_supplemental.pdf
1/20/2016	🟢📐	Plan Of Land 44 Mill St Hoyt Surveying - ANR Application		338-0594	Survey plan for 44 Mill St; Preparing for subdivision attempt	Hoyt Land Surveying	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_20_Hoyt_Survey_44_Mill.pdf
1/27/2016	🟢📄	GEC Summary Report		338-0594	GEC confirms dam 60 years old, Mill Brook perennial, potential vernal pools; Technical evaluation supports WCC position		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_01_27-DEP-0594-GEC_Report_Summary.pdf
2/2/2016	❌🟢⭐	MISSING: Anr Plan 44 Mill St Filed	**ANR application**	338-0594	ANR Plan for 44 Mill St; Attempt to create buildable lot without subdivision	Map 28, Lot 14	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_02_MISSING_ANR_Plan_44_Mill_St_Filed.txt
2/11/2016	📧	Planning Board letter RE ANR		338-0594	ANR declared incomplete - vital access not demonstrated; Planning Board finds deficiencies		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_11%20Planning%20Board%20letter%20RE%20ANR.pdf
2/23/2016	🟢⛔	Planning Board Meeting Minutes Anr Denial	**ANR denied**	338-0594	Planning Board determines land constitutes subdivision	Must go through full subdivision process	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_23%20Westwood%20Planning%20Board%20Minutes
2/24/2016	📧	Nora Loughnane Planning Board Letter	Correspondence from Nora Loughnane to Planning Board; Public participation in process	338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_02_24%20Nora%20Loughnane%20Planning%20Board%20Letter.pdf
3/19/2016	📧	21 DeMelle - Catrone - Dam Ownership		338-0594	Email exchange about dam ownership; First questioning of dam ownership responsibilities		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_03_19-21%20DeMelle%20-%20Catrone%20-%20Dam%20Ownership
4/29/2016	📧	Buckley to Abutters		338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_04_29%20Buckley%20to%20Abutters
6/13/2016		Goddard Revised Plan		338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_06_13-DEP-0594-GLM_Consultants_Goddard_Wetland_Zones.png
6/13/2016	🔒🟢📐	Goddard Revised Plan - DEP Settlement - Marked Up	**DEP Revisions**	338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_06_13-DEP-0594-GLM_DEP_Settlement_Annotated_01.png
8/3/2016	🔒📄	Goddard Revised Plan Submission	**Submission of revision**	338-0594	Delapa submits revised plan in response to previous comments. Claims there is no perrenial stream and no other wetland areas		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_08_03-DEP-0594-SORAD_Goddard request_to_DEP.pdf
8/25/2016	🔒🟢⛔	SORAD Denial	**DEP SORAD denied**	338-0594	DEP confirms Mill Brook as perennial stream; site within Interim Wellhead Protection Area for public water supply	*"A significant portion of Mill Brook including the impoundment at the site is within the Interim Wellhead Protection Area of a Public Water Supply (PWS) well at Buckmaster Pond in Westwood...The IWPA radius for the PWS well at Buckmaster Pond is 0.5 miles."* Protected status emphatically upheld Site described in filing as "undevelopable"	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_08_25-DEP-0594-SORAD_DEP_DENIAL.pdf
8/30/2016	📧	Buckley to Abutters		338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_08_30%20Buckley%20to%20Abutters
9/8/2016	🔒🟢↩️	SORAD Appeal Document	**SORAD appealed**	338-0594	Delapa appeals DEP's Superseding Order; Opens second appeal (Docket WET-2016-022)	Escalates to administrative hearing - challenges state's environmental findings	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_09_08-DEP-0594-SORAD_Goddard_appeal.pdf
9/19/2016	📧	20 Buckley - Catrone - Palmer		338-0594	Buckley, Catrone, Palmer coordination		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_09_19-20%20Buckley%20-%20Catrone%20-%20Palmer
10/3/2016	🔒🟢📐	Goddard Revised Plan - DEP Settlement - Formalized	**DEP Settlement Revisions**	338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_10_03-DEP-0594-GLM_Consultants_Settlement_Plan.png
10/14/2016	🔒🟢📄	Goddard Forad Submission		338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_10_14-DEP-0594-Goddard_FORAD_Plans.pdf
10/20/2016	🔒🟢📄	#338-0594 DEP "Mofified" Determination	**Final Plan**	338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_10_20-DEP-0594-GLM_DEP_Note.png
11/9/2016	🔒🟢	Executive Session		338-0594	WCC executive session for private deliberations on strategy		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_11_09_Executive_Session_Minutes.txt
11/14/2016	🔒🟢📄	Town Counsel WCC Settlement Letter	**Town Counsel Accepts Settlement**	338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_11_14_Town_Counsel_Settlement_Letter.pdf
11/21/2016	🔒🟢📄	Settlement Agreement Worrall & Watsky	!**WET-2016-022 Settlement**!	338-0594	Settlement agreement with Worrall; Another party settlement		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_11_21-DEP-0594-WET-2016-022_Settlement_Agreement.pdf
12/19/2016	🔒🟢📄✅	DEP Final Agreement Filed	**DEP Final Agreement Filed**	338-0594	DEP Final Decision incorporating Settlement Agreement; Appeal proceedings dismissed; BVW and Mill Brook perennial stream/Riverfront confirmed	*"I have reviewed the attached Settlement Agreement...The Department issues this Final Decision incorporating the Settlement Agreement and Final Order of Resource Area Delineation"*; *"these proceedings are dismissed with the parties waiving whatever rights they may have to further administrative review"*	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2016_12_19-DEP-0594-WET-2016-022_DEP_Final_Decision.pdf
1/11/2017	🟢🏛️✅	Conservation Commission Minutes	**WCC accepts Settlement**	338-0594	Commission signs ORAD for approval under Westwood Wetland Bylaw (approved 11/9/16 in Executive Session); Official wetland boundaries established under local bylaw with 3-year validity	*"the Commission must sign an ORAD for approval under the Bylaw which was approved on 11/9/16 during Executive Session"*; *"Motion...to sign the ORAD for approval under the Westwood Wetland Bylaw"*	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2017_01_11%20Conservation%20Commission%20Minutes.pdf
11/2/2018	✏️	Site_Plan	**New House Plan**	338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2018_11_02_Site_Plan.pdf
12/17/2019	🔒🟢📄	FORAD attestation	**DEP attests FORAD**	338-0594	December 19, 2016 Plan is FORAD		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2019_12_17-DEP-0706-DEP_FORAD_2.pdf
12/24/2019	🔒🟢♻️	#338-0594 Extension Permit for FORAD	**FORAD Extension**	338-0594	WETLAND BOUNDARIES EXTENDED (3 more years until Dec 19, 2022)		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2019_12_24-DEP-0594-DEP_Extension.pdf
3/19/2020	🟢⭐	Vinci NOI for Single Family Home	**Vinci NOI**	338-0706	New development application		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_03_19-DEP-0706-Notice_of_Intent.pdf
4/3/2020	🔒🟢♻️	Mass Covid Extension - Chapter 53	**COVID EXTENSION**	338-0594			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_03_Mass_Covid_Extension-Chapter_53.pdf
4/7/2020		Vinci_Quitclaim_Deed - Lot 2 sold to Delapa for $1		338-0706		Property transfer via quitclaim deed from Vinci back to Delapa for $1	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_04_07_Vinci_Quitclaim_Deed.pdf
6/18/2020	❗	Notice to Abutters		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_06_18-DEP-0706-Notice_to_Abutters.pdf
6/18/2020	🟢📐	Goddard 338-0706 NOI Plan		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_06_18-DEP-0706-Goddard_NoI.pdf
7/6/2020	📧	email from Kerry Snyder - Neponset River Watershed Assoc	**Neponset RWA Letter**	338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_07_06_email_from_Kerry_Snyder.pdf
7/8/2020	🏛️	Minutes  Conservation Commission	**Peer Review Ordered**	338-0706	*"Mr. Goddard states this is a four acre lot with a pond, dam, riverfront area, bordering vegetated wetland and flood plain"*; *"Mr. Rogers states there are a lot of significant issues on this site"*; *"Motion...to hire a peer review consultant at the expense of the applicant"*	Initial hearing on single-family home NOI; Site has pond, dam, riverfront area, BVW and flood plain - peer review ordered	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_07_08%20Minutes%20%20Conservation%20Commission.pdf
10/8/2020	🟢🔍	GEC_Donahoe_Review_Summary	**PEER REVIEW**	338-0706	GEC/Donahoe peer review summary; Professional evaluation findings	SCALE ERROR FOUND ON STAMPED PLAN	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_08_GEC_Donahoe_Review_Summary.pdf
10/13/2020	📧	Goddard to Catrone	Goddard email to WCC administrator; Correcting NOI filing under Vinci instead of Delapa	338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_13%20Goddard%20to%20Catrone.pdf
10/14/2020	🐢	Minutes - Conservation Commission		338-0706	Hearing continuation notice; More time needed for review	Process extending	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_14%20Minutes%20-%20Conservation%20Commission.pdf
10/27/2020	📧	Response_to_Peer_Review_Comments	Applicant responds to peer review; Addressing technical concerns	338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_27_Response_to_Peer_Review_Comments.pdf
10/28/2020	🏛️	Minutes  Conservation Commission	Essentially a checkin - continuance	338-0706	*"It has been before the Commission several times in the past"* (Previtera); Difficult site with repeated attempts - pattern of persistent applications		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_10_28%20Minutes%20%20Conservation%20Commission.pdf
11/18/2020	📧	Nora Loughnane email to Catrone		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18_Nora _Loughnane_email_to_Catrone.pdf
11/18/2020	🐢	WCC Hearing Continued		338-0706	Sale record from Salvatore to Delapa		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_11_18%20WCC%20Hearing%20Continued.pdf
12/14/2020	🟢📧	GEC_Donahoe_Review_Comments		338-0706	Detailed peer review reveals specific technical concerns	Substantive issues identified with application	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2020_12_14_GEC_Donahoe_Review_Comments.pdf
1/1/2021	📧	2021 Goddard Continuation Requests		338-0706	Pattern of delays by applicant	Multiple continuation requests by Goddard	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021%20Goddard%20Continuation%20Requests.pdf
1/27/2021	🐢	WCC Hearing Continued		338-0706	Extended review process continues	Hearing continuation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_01_27%20WCC%20Hearing%20Continued.pdf
2/10/2021	🐢	WCC Hearing Continued		338-0706	Extended review process continues	Another continuation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_02_10%20WCC%20Hearing%20Continued.pdf
2/24/2021	🐢	WCC Hearing Contnued		338-0706	Extended review process continues	Continued again	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_02_24%20WCC%20Hearing%20Contnued.pdf
3/10/2021	🟢📐	Delapa Site Plan		338-0706	Updated development proposal	Site plan revision submitted	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_10%20Delapa%20Site%20Plan.pdf
3/10/2021	🐢	WCC Hearing Continued		338-0706	Procedural reset required due to extended delays	WCC requires re-notification of abutters due to many continuations	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_10%20WCC%20Hearing%20Continued.pdf
3/19/2021	🟢⭐	Delapa Notice of Intent Update	**NOI changed from Vinci to Delapa**	338-0706	Updated formal application submitted	WPA Form 3 submission	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_19%20Delapa%20Notice%20of%20Intent%20Form%203.pdf
3/19/2021	🟢📧	Goddard Response to GEC Review		338-0706	Applicant addresses technical concerns raised by peer reviewer	Response to GEC Review comments	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_19%20Goddard%20Response%20to%20GEC%20Review.pdf
3/22/2021	🟢📐	Goddard_NOI_Revised_DEP_338-0706		338-0706	Application revision for case #338-0706	Revised plans submitted	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_22_Goddard_NOI_Revised_DEP_338-0706.pdf
3/24/2021	🐢	WCC Hearing Continued - Abutters not notified		338-0706	Procedural failure requires new notification	Abutters not properly notified	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_03_24%20WCC%20Hearing%20Continued%20-%20Abutters%20not%20notified.pdf
4/26/2021	📧	Catrone email to Donahoe	Administrative coordination with peer reviewer	338-0706	Catrone email to Donahoe		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_04_26%20Catrone%20email%20to%20Donahoe.pdf
5/5/2021	🏛️	Minutes  Conservation Commission	**GEC Delineation Questions**	338-0706	Commission deliberation documentation	Mr. Donahue is present and states there are several comments that have not been addressed. In the original submittal the Riverfront Area is much larger than shown on this plan. He explains that this was approved under an ORAD and ORADs cannot be extended. In 2016 the stream channel extended 150 feet out to what was a pond. There is a beaver dam there now. With the elevations present at the channel, this brings the riverfront area 25 feet closer to the house.	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_05%20Minutes%20%20Conservation%20Commission.pdf
5/6/2021	📧	Ahearn reply to Catrone		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_06_Ahearn_reply_Catrone.pdf
5/6/2021	📧	AY email to Catrone		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_06_AY_email_Catrone.pdf
5/25/2021	📧	AY TD emails		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_25_AY_TD_emails.pdf
5/25/2021	📧	Buckley email		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_25_Buckley_email.pdf
5/26/2021	🐢	WCC Hearing Continued		338-0706	Extended review process continues	Another hearing continuation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_05_26%20WCC%20Hearing%20Continued.pdf
6/8/2021	📧	email from Nora Loughnane		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_06_08_email_Nora_Loughnane.pdf
6/9/2021	📧	email from Nora Loughnane		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_06_09_email_Nora Loughnane.pdf
6/9/2021	🐢	WCC Hearing Continued		338-0706	Extended review process continues	Hearing continuation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_06_09%20WCC%20Hearing%20Continued.pdf
7/3/2021	🟢📄	Delapa NOI Form 3 - siteplan added	**Site Plan Added to NOI**	338-0706	Updated application materials with July 3, 2021 date	WPA Form 3 Revision	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_07_03%20Delapa%20NOI%20Form%203%20Revision.pdf
7/3/2021	🟢📐	Delapa Revised Site Plan		338-0706	Updated development proposal	Revised site plan dated July 3, 2021	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_07_03%20Delapa%20Revised%20Site%20Plan.pdf
7/28/2021	🐢	WCC Hearing Continued		338-0706	Extended review process continues	Another continuation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_07_28%20WCC%20Hearing%20Continued.pdf
9/8/2021	📧	Goddard response to GEC Review	!** Goddard rejects GEC**!	338-0706	Applicant disputes peer review findings	Goddard rejects GEC peer review	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_09_08%20Goddard%20response%20to%20GEC%20Review.jpg
9/8/2021	🐢	WCC Hearing Continued		338-0706	Extended review process continues	Hearing continuation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_09_08%20WCC%20Hearing%20Continued.pdf
10/8/2021	🟢📐	Goddard Revised NOI Site Plan		338-0706	Mr. McGuire states the plans have been revised. Two staging pits have been removed because they are no longer required.		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_08%20Goddard%20Revised%20NOI%20Site%20Plan.pdf
10/13/2021	🟢🏛️	Minutes  Conservation Commission		338-0706	Issues with GEC Acknowledged. Concern expressed. 	Mr McGuire states if the project is going to e denied he will ask the commission if they will continue the bylaw section of the Notice of Intent for six (6) months. Ms. Catrone recommends the Commission not break up the state and bylaw portion of the Notice of Intent. Hearing continued to allow Karon to consult with Town Counsel on continuing the bylaw portion of the Notice of Intent.	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_13%20Minutes%20%20Conservation%20Commission.pdf
10/18/2021	📄	Delapa Withdrawal of NOI from Town Bylaws	!** Goddard withdraws NOI**!	338-0706	Strategic retreat to state-only jurisdiction before any vote; Attempt to avoid stricter town standards	*"Applicant hereby **withdraws its local-by-law Notice of Intent ⭐**…"* (Complaint p. 8 ¶38)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_18%20Delapa%20Withdrawal%20of%20NOI%20from%20Town%20Bylaws.pdf
10/27/2021	🐢	WCC Hearing Continued		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_10_27%20WCC%20Hearing%20Continued%20-%20Mr%20Stephen%20David%20recuses%20himself.pdf
11/10/2021	🟢🏛️	WCC denies request to withdraw or continue the notice of intent and to deny the Order Of Conditions under both the state and the bylaw 	**Withdraw Denied. Continue Denied**	338-0706	**PROJECT DENIED 7-0** - Board refuses withdrawal & issues denial; Commission protects 26,638 sf of resources including perennial stream	*"Motion...to deny...under both the state and the bylaw. The site is very difficult and the applicant has not demonstrated that the project can meet the performance standards"* (Complaint p. 8 ¶39)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_10%20Minutes%20%20Conservation%20Commission.pdf
11/17/2021	🟢⛔	Order of Conditions Denial	**Order of Condiitions Denied**	338-0706		WPA Form 5 denial citing environmental impacts	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_17-DEP-0706-WCC_NoI_Denial_Form5.pdf
11/18/2021	🟢📄	WCC Denied Plan Findings		338-0706	Official rejection of development proposal	Formal WCC denial document	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_18_WCC_Denied_Plan_Findings.pdf
11/30/2021	🔒🟢↩️	Goddard DEP SOC Request	**SOC appeal**	338-0706	Seeks state override of local denial; claims project meets standards with 700 sq ft replication for 550 sq ft fill	Appeal to DEP for superseding order	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_11_30-DEP-0706-Goddard_SOC_Request.pdf
12/15/2021		DEP Site Inspection Notice		338-0706	Site inspection notice		https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2021_12_15%20DEP%20Site%20Inspection%20Notice.pdf
1/6/2022	🔍	DEP Site Visit	**DEP Site Visit**	338-0706	Critical inspection with all parties present; DEP evaluates conflicting positions	Site visit with applicant, WCC rep, and peer reviewer	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_06_DEP_Site_Visit.txt
1/11/2022	🔒📄	DEP letter to Delapa		338-0706	DEP requests quantification of BLSF impacts and flood storage per 310 CMR 10.57(4)	Request for additional technical information	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_11%20DEP%20letter%20to%20Delapa.pdf
1/12/2022	🔒🟢📄	Superior Court Case – Docket #2282CV00038 opened	!**Delapa Suit Filed**!	338-0706	Legal challenge escalates to superior court	Superior Court Case – Docket #2282CV00038 opened	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_Case%20Details%20-%20Massachusetts%20Trial%20Court%20N3.pdf
1/12/2022	🔒📄	Delapa Formal Allegations		338-0706	Formal legal challenge to WCC denial; 3 counts: certiorari, by-law not stricter, Commission lacked withdrawal discretion	Superior Court Filing – Petition for Certiorari (31 pages)	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_DelapavsWCC_Docket001_OCR2.pdf
1/12/2022		Civil Action Cover Sheet		338-0706	Procedural filing for court case	Superior Court Filing – Certificate of Service of Petition	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_12_DelapavsWCC_Docket002_OCR2.pdf
1/31/2022	🔒🟢📐	Revised Plan		338-0706			https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_01_31-DEP-0706-GLM_Revised_House_Plan.png
2/7/2022	🔒📧	Email from Watsky to Town Council		338-0706	Settlement negotiations begin between parties	Legal negotiation documentation	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_07_Email_Watsky_Town_Counsel.pdf
2/8/2022	🔒📄📐	Goddard Supplies Requested information to DEP - Plan is in missing dropbox link		338-0706	Response to DEP with revised plans dated Jan 31, 2022	Goddard submits information request response	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_08_Goddard_Requested_Information.pdf
2/25/2022	🔒📄📐	Goddard Supplies Blsf Cut Fill Chart to DEP		338-0706	Technical submission responding to DEP request	BLSF cut/fill chart submitted	https://github.com/tdemelle-SiP/bakers_pond/blob/master/Dated%20Documents/2022_02_25-DEP-0706-Goddard_Requested_Information.pdf
